H,G,delta
0,0.00172,2466.12
0.00214,0.00172,2457.31
0.00413,0.00172,2449.91
0.00597,0.00172,2442.94
0.00768,0.00172,2436.73
0.00928,0.00172,2430.94
0.01285,0.00172,2418.63
0.01591,0.00172,2408.59
0.01856,0.00172,2399.78
0.02087,0.00172,2392.5
0.02291,0.00172,2386.34
0.02635,0.00172,2375.83
0.02914,0.00172,2367.9
0.03143,0.00172,2361.31
0.03336,0.00172,2356.35
0.03501,0.00172,2351.63
0.03642,0.00172,2348.02
