H,G,delta
0,0.00127,2466.86
0.00166,0.00127,2447.78
0.00321,0.00127,2429.77
0.00466,0.00127,2413.42
0.00602,0.00127,2398.48
0.0073,0.00127,2384.96
0.0102,0.00127,2355.42
0.01271,0.00127,2330.83
0.01492,0.00127,2311.25
0.01688,0.00127,2293.05
0.01862,0.00127,2277.66
0.0216,0.00127,2253.27
