H,G,delta
0,0.001461169,2466.86
0.002137525,0.001461169,2324.07
0.004118883,0.001461169,2222.56
0.005960586,0.001461169,2149.51
0.007676896,0.001461169,2094.4
0.009280197,0.001461169,2051.57
0.012861716,0.001461169,1977.69
0.015937012,0.001461169,1931.26
0.018606328,0.001461169,1899.12
0.020945077,0.001461169,1875.82
0.023011086,0.001461169,1857.62
0.026495789,0.001461169,1832.54
0.029321446,0.001461169,1815.39
0.031658867,0.001461169,1803.03
0.033624532,0.001461169,1794.05
0.035300595,0.001461169,1786.89
