H,G,delta
0,0.00146,2466.86
0.00195,0.00146,2429.49
0.00377,0.00146,2396.8
0.00547,0.00146,2369.95
0.00707,0.00146,2345.11
0.00858,0.00146,2323.92
0.01197,0.00146,2280.36
0.0175,0.00146,2219.59
0.02183,0.00146,2179.33
0.02815,0.00146,2129.92
0.03053,0.00146,2113.22
0.03256,0.00146,2100.5
0.03429,0.00146,2089.77
